Player_Name,Hero_Pick,Kill,Death,Assist,Damage_Dealt,Damage_Taken,Damage_Turret,Gold,Level,Player_Role
Luke,Barats,1,0,13,23618,76514,594,7201,12,Explane
Donn,Esmeralda,0,3,2,32361,83104,0,5126,10,Explane
Luke,Ruby,1,0,9,37653,84374,3414,9494,15,Explane
Donn,Thamuz,1,5,2,29804,107163,0,8166,14,Explane
Luke,Yu Zhong,3,5,3,44568,114057,0,8831,15,Explane
Donn,Esmeralda,5,2,5,77370,196818,4117,12576,15,Explane
Luke,Lapu-Lapu,3,4,12,49838,128533,363,10600,15,Explane
Donn,Arlott,0,8,10,26881,98532,2891,10498,15,Explane
Luke,Ruby,1,0,12,47202,94473,5082,13720,15,Explane
Donn,Yu Zhong,1,3,7,25818,87731,2631,11032,15,Explane
Aran,Benedetta,6,5,6,81467,132404,3366,22208,15,Explane
Fluffy,Yu Zhong,5,2,7,35374,189351,3651,20176,15,Explane
Aran,Cici,4,1,3,50822,72242,142,8646,14,Explane
Fluffy,Terizla,0,1,6,34747,125683,2008,9239,15,Explane
Aran,Cici,0,3,2,13094,36434,0,6118,12,Explane
Fluffy,Yu Zhong,1,0,2,24296,25127,4516,7331,13,Explane
Lutpiii,Cici,2,4,9,32879,74225,2386,11038,15,Explane
Luke,Xborg,4,2,7,56009,85261,0,10626,15,Explane
Lutpiii,Benedetta,2,5,5,39250,127102,2190,11897,15,Explane
Luke,Masha,4,8,2,61367,77728,7935,12226,15,Explane
Lutpiii,Cici,0,3,3,47836,130372,3546,8362,14,Explane
Luke,Ruby,2,2,10,30441,119025,3327,8850,14,Explane
Lutpiii,Uranus,0,4,9,26417,227432,1477,10007,15,Explane
Luke,Xborg,4,6,4,74407,124641,0,10784,15,Explane
Lutpiii,Xborg,0,0,7,54316,112594,1926,9049,15,Explane
Luke,Ruby,0,2,2,25187,104192,222,7252,14,Explane
Xorizo,Cici,1,4,4,39976,67613,2998,6966,13,Explane
Fluffy,Yu Zhong,1,1,11,34973,93874,699,9128,15,Explane
Xorizo,Paquito,2,4,5,24123,72730,6007,8065,14,Explane
Fluffy,Terizla,6,2,7,34994,92175,1323,9692,15,Explane
Xorizo,Cici,5,1,14,76184,132874,11298,11116,15,Explane
Fluffy,Paquito,2,6,1,30495,116685,1112,8331,14,Explane
Xorizo,Terizla,0,3,4,18170,54506,1960,6762,12,Explane
Fluffy,Yu Zhong,3,1,5,19328,50130,616,8182,13,Explane
Xorizo,Cici,5,3,3,39393,98130,4723,9302,15,Explane
Luke,Masha,7,2,6,50648,55992,2336,9991,15,Explane
Xorizo,Esmeralda,2,2,5,48702,140671,2138,10086,15,Explane
Luke,Masha,4,4,4,38726,88361,86,9976,15,Explane
Xorizo,Arlott,1,5,4,27227,184231,0,11349,15,Explane
Luke,Lapu-Lapu,3,0,9,37500,152242,5366,15830,15,Explane
Lutpiii,Thamuz,2,1,13,33069,92817,1206,9085,14,Explane
Fluffy,Barats,0,6,3,22436,85475,0,6476,12,Explane
Lutpiii,Paquito,2,0,3,18430,32568,3342,9004,14,Explane
Fluffy,Terizla,1,3,3,26044,75895,0,6595,12,Explane
Lutpiii,Cici,3,0,7,39394,62917,6842,7577,13,Explane
Fluffy,Ruby,2,2,3,24680,52839,0,4818,10,Explane
Fluffy,Esmeralda,2,5,1,45427,119718,296,11954,15,Explane
Luke,Masha,7,2,1,42852,50249,2996,12712,15,Explane
Fluffy,Xborg,0,0,12,30470,83352,3098,9966,15,Explane
Luke,Yu Zhong,0,5,0,23889,60481,0,7740,13,Explane
Fluffy,Masha,5,4,4,34123,87561,2005,9664,15,Explane
Luke,Lapu-Lapu,4,4,7,35385,84426,3508,10735,15,Explane
Fluffy,Yu Zhong,6,5,6,40279,116771,666,12427,15,Explane
Luke,Barats,1,5,7,32282,164827,0,10272,15,Explane
Fluffy,Terizla,1,5,7,62507,280704,506,14630,15,Explane
Luke,Chou,0,6,10,23140,224960,0,16029,15,Explane
Lutpiii,Paquito,0,2,4,47630,50125,10540,13200,15,Explane
Fluffy,Terizla,7,2,3,32987,150563,0,7018,14,Explane
Lutpiii,Barats,2,4,9,25177,167323,887,10111,15,Explane
Fluffy,Terizla,3,5,2,25947,151172,300,9466,15,Explane
Lutpiii,Masha,9,2,2,71355,63950,7498,15683,15,Explane
Fluffy,Terizla,1,5,7,39615,223498,0,9855,15,Explane
Lutpiii,Terizla,2,6,2,32985,150563,0,7018,13,Explane
Fluffy,Paquito,5,0,7,47628,50121,10536,13196,15,Explane
Lutpiii,Uranus,0,4,0,57609,225100,0,9786,15,Explane
Fluffy,Xborg,3,0,6,101879,158483,7104,15039,15,Explane
Lutpiii,Cici,7,0,2,56389,90681,7956,11716,15,Explane
Fluffy,Xborg,0,1,1,35298,83903,1755,8594,14,Explane
