Player_Name,Hero_Pick,Kill,Death,Assist,Damage_Dealt,Damage_Taken,Damage_Turret,Gold,Level,Player_Role
Caderaa,Harith,5,1,11,56072,28590,24879,9159,13,Goldlane
Skylar,Roger,2,2,0,15503,36655,175,6093,11,Goldlane
Caderaa,Harith,2,1,7,58655,54740,20269,10916,15,Goldlane
Skylar,Karrie,0,2,3,17618,51520,8781,10455,15,Goldlane
Caderaa,Natan,4,5,3,58614,73359,12252,13514,15,Goldlane
Skylar,Roger,6,0,10,52996,50922,14855,14123,15,Goldlane
Caderaa,Karrie,7,4,6,69603,77003,6643,13684,15,Goldlane
Skylar,Roger,7,2,7,59895,69160,11653,16099,15,Goldlane
Caderaa,Karrie,3,2,7,70532,54030,11979,15968,15,Goldlane
Skylar,Roger,5,1,3,40718,59830,23026,16633,15,Goldlane
Kabuki,Karrie,9,0,4,132452,67163,16025,19841,15,Goldlane
Branz,Roger,10,4,6,130103,118383,9999,25905,15,Goldlane
Kabuki,Claude,4,0,1,54244,36607,3909,11471,15,Goldlane
Branz,Roger,5,0,2,50126,41329,14568,13497,15,Goldlane
Kabuki,Roger,4,3,0,20059,41824,0,7948,12,Goldlane
Branz,Claude,2,0,1,23903,14293,23028,10479,14,Goldlane
Cw,Moskov,6,1,9,83620,35300,24947,15647,15,Goldlane
Caderaa,Natan,7,4,5,55343,45036,2777,12789,15,Goldlane
Cw,Roger,12,2,3,76645,102493,7144,15987,15,Goldlane
Caderaa,Moskov,8,0,5,104446,60842,12755,16558,15,Goldlane
Cw,Natan,0,3,3,72567,59104,5461,10622,15,Goldlane
Caderaa,Claude,4,0,7,85972,73377,28075,13076,15,Goldlane
Cw,Karrie,6,0,6,68729,46087,14036,15388,15,Goldlane
Caderaa,Claude,2,4,5,51178,74434,1125,12600,15,Goldlane
Cw,Claude,1,1,3,27845,48602,21497,12710,15,Goldlane
Caderaa,Natan,3,2,0,75795,51060,8865,11868,15,Goldlane
Emann,Natan,1,2,3,53904,41207,3502,11096,15,Goldlane
Branz,Harith,10,0,7,75721,33614,14995,12810,15,Goldlane
Emann,Natan,2,1,2,45247,33237,60,9501,15,Goldlane
Branz,Claude,5,0,6,39167,22768,24115,13253,15,Goldlane
Emann,Roger,4,1,9,48870,86925,14188,13011,15,Goldlane
Branz,Claude,2,5,8,53535,89023,3145,10732,15,Goldlane
Emann,Roger,0,2,3,36501,39174,7503,9124,13,Goldlane
Branz,Moskov,3,0,4,20187,23273,16454,9502,14,Goldlane
Emann,Karrie,3,5,1,49342,69635,10025,10868,15,Goldlane
Caderaa,Moskov,4,1,13,52188,45930,16349,10967,15,Goldlane
Emann,Natan,1,2,5,46795,45257,11790,11142,15,Goldlane
Caderaa,Moskov,7,1,7,69112,51397,22997,13111,15,Goldlane
Emann,Moskov,1,2,6,97060,86398,0,22622,15,Goldlane
Caderaa,Claude,4,1,9,92707,89526,16264,19130,15,Goldlane
Cw,Roger,3,0,9,35135,24747,24207,11788,15,Goldlane
Branz,Claude,1,1,1,39029,30603,2929,10387,15,Goldlane
Cw,Roger,6,1,5,58540,46538,14153,11914,15,Goldlane
Branz,Claude,1,2,2,24800,41819,3804,9469,14,Goldlane
Cw,Claude,2,0,5,27432,21361,18849,9479,13,Goldlane
Branz,Roger,0,3,2,20490,42673,0,5945,10,Goldlane
Branz,Roger,2,2,1,48160,57755,0,13315,15,Goldlane
Caderaa,Claude,3,1,8,47573,55014,28812,15279,15,Goldlane
Branz,Roger,3,0,4,34033,36957,21771,12182,15,Goldlane
Caderaa,Claude,0,2,1,39649,42001,116,10365,14,Goldlane
Branz,Roger,2,1,3,38006,55145,823,13216,15,Goldlane
Caderaa,Claude,2,0,9,75092,32206,19197,14032,15,Goldlane
Branz,Moskov,3,2,12,69581,80884,10758,16953,15,Goldlane
Caderaa,Claude,2,1,9,106078,87949,10172,13759,15,Goldlane
Branz,Claude,10,2,4,101384,67483,11982,22524,15,Goldlane
Caderaa,Roger,9,1,6,119248,143804,9350,24039,15,Goldlane
Cw,Claude,3,0,1,27900,48650,21500,13110,15,Goldlane
Branz,Roger,2,1,3,66735,47353,13499,15129,15,Goldlane
Cw,Roger,7,0,7,55005,43991,21035,15939,15,Goldlane
Branz,Karrie,1,2,5,68303,55279,6655,13612,15,Goldlane
Cw,Roger,8,0,5,93527,69266,7404,17860,15,Goldlane
Branz,Karrie,0,3,7,67364,80645,0,14925,15,Goldlane
Cw,Cici,1,3,2,52207,85932,0,9144,15,Goldlane
Branz,Roger,8,0,5,66733,47350,13496,15127,15,Goldlane
Cw,Roger,1,1,0,51062,29507,10245,15009,15,Goldlane
Branz,Beatrix,4,0,5,70511,39971,6201,16684,15,Goldlane
Cw,Claude,1,0,5,51961,54612,20172,12667,15,Goldlane
Branz,Karrie,0,2,1,35109,41137,2838,9490,14,Goldlane
