Player_Name,Hero_Pick,Kill,Death,Assist,Damage_Dealt,Damage_Taken,Damage_Turret,Gold,Level,Player_Role
Reyy,Ling,4,0,10,29512,30466,3192,10540,15,Jungler
1rrad,Baxia,2,5,1,18400,97319,0,4871,10,Jungler
Reyy,Baxia,2,2,7,23978,100989,595,9158,15,Jungler
1rrad,Fredrinn,0,3,3,33132,113436,0,7953,14,Jungler
Reyy,Barats,1,2,5,35704,157654,0,9201,15,Jungler
1rrad,Fredrinn,1,3,8,34206,102486,263,10663,15,Jungler
Reyy,Baxia,7,3,13,42127,170198,0,9831,15,Jungler
1rrad,Fredrinn,6,2,9,54023,151360,522,12186,15,Jungler
Reyy,Fredrinn,4,3,7,23927,107827,222,11347,15,Jungler
1rrad,Akai,1,3,4,18172,114206,1226,10680,15,Jungler
Gugunnn,Baxia,1,6,15,51170,245431,0,14929,15,Jungler
Anavel,Akai,1,4,7,26490,253377,651,16753,15,Jungler
Gugunnn,Baxia,1,4,8,22231,95402,0,7645,15,Jungler
Anavel,Alpha,3,3,3,38940,82547,9809,11099,15,Jungler
Gugunnn,Baxia,0,1,2,11759,66135,0,4809,11,Jungler
Anavel,Nolan,5,0,2,29074,15032,7869,11174,15,Jungler
Kairi,Baxia,5,2,10,22940,73301,1026,10408,15,Jungler
Reyy,Fredrinn,3,6,6,20997,101505,0,8721,15,Jungler
Kairi,Baxia,3,2,13,39591,221057,0,10600,15,Jungler
Reyy,Fredrinn,4,5,9,48051,176492,1009,11463,15,Jungler
Kairi,Akai,2,3,1,22160,181382,0,7015,14,Jungler
Reyy,Fredrinn,3,1,9,39867,119526,1416,8865,15,Jungler
Kairi,Fanny,8,0,6,45069,29054,7097,14254,15,Jungler
Reyy,Barats,1,2,6,37786,113227,133,9871,15,Jungler
Kairi,Baxia,3,0,5,20010,82772,0,8974,15,Jungler
Reyy,Barats,1,2,2,29262,150733,944,7745,14,Jungler
Super Kenn,Fredrinn,3,5,2,30307,102122,0,7206,14,Jungler
Anavel,Baxia,1,2,12,30709,146212,528,8360,15,Jungler
Super Kenn,Roger,4,4,4,37106,73533,4484,10505,15,Jungler
Anavel,Fredrinn,2,1,8,19028,94321,2217,9116,15,Jungler
Super Kenn,Baxia,1,4,10,25203,96747,0,8178,15,Jungler
Anavel,Fredrinn,3,7,6,30542,181628,0,8588,14,Jungler
Super Kenn,Baxia,2,2,4,12354,46012,0,6626,13,Jungler
Anavel,Alpha,4,2,5,24939,60921,3100,9374,15,Jungler
Super Kenn,Barats,0,3,5,33392,126795,0,9205,15,Jungler
Reyy,Fredrinn,2,1,17,29729,111585,3194,10151,15,Jungler
Super Kenn,Barats,2,3,8,41573,133795,400,8750,15,Jungler
Reyy,Fredrinn,1,0,16,34318,146998,774,10418,15,Jungler
Super Kenn,Baxia,0,1,5,33251,245828,0,11620,15,Jungler
Reyy,Fredrinn,1,2,10,27860,157078,647,12865,15,Jungler
Kairi,Julian,8,2,6,35060,32752,8043,11014,15,Jungler
Anavel,Alpha,3,4,0,22821,57355,0,8615,15,Jungler
Kairi,Baxia,3,1,8,33863,102298,0,7736,15,Jungler
Anavel,Akai,1,3,2,12412,117648,0,6132,12,Jungler
Kairi,Julian,6,0,4,39252,20651,11382,9190,15,Jungler
Anavel,Ling,1,2,2,21532,28760,0,6440,13,Jungler
Anavel,Baxia,3,6,1,33193,171421,0,8588,15,Jungler
Reyy,Fredrinn,4,0,10,24088,100575,2757,12223,15,Jungler
Anavel,Lancelot,7,1,7,62353,28342,7531,13855,15,Jungler
Reyy,Fredrinn,0,3,1,16350,81097,0,6507,13,Jungler
Anavel,Alpha,3,4,4,36051,74416,0,10717,15,Jungler
Reyy,Fredrinn,3,1,9,18072,72594,5295,11002,15,Jungler
Anavel,Fredrinn,1,3,10,33684,179690,1388,10568,15,Jungler
Reyy,Ling,5,4,7,44202,57347,2410,16335,15,Jungler
Anavel,Nolan,6,4,8,57555,60523,11395,22040,15,Jungler
Reyy,Fredrinn,2,2,12,39194,299876,1115,15931,15,Jungler
Kairi,Fredrinn,2,3,2,29620,169518,2970,9710,15,Jungler
Anavel,Lancelot,0,2,7,62453,29342,8531,14855,15,Jungler
Kairi,Fanny,3,2,8,47833,44787,5302,14518,15,Jungler
Anavel,Nolan,2,4,4,22289,47659,4838,14344,15,Jungler
Kairi,Fredrinn,1,4,11,41341,162003,531,12613,15,Jungler
Anavel,Ling,5,2,4,49951,71724,2140,16994,15,Jungler
Kairi,Ling,1,4,4,27774,51925,0,11250,15,Jungler
Anavel,Fredrinn,2,2,8,29618,169516,2968,9705,15,Jungler
Kairi,Nolan,0,1,1,60722,36064,8155,15967,15,Jungler
Anavel,Fredrinn,1,0,9,34586,162557,1072,11091,15,Jungler
Kairi,Baxia,2,1,3,21407,98864,171,9136,15,Jungler
Anavel,Fredrinn,0,2,0,9987,100321,0,6583,13,Jungler
