Player_Name,Hero_Pick,Kill,Death,Assist,Damage_Dealt,Damage_Taken,Damage_Turret,Gold,Level,Player_Role
Aboy,Faramis,2,1,15,48185,40293,3997,7649,12,Midlane
Clayyy,Valentina,0,3,4,23804,51091,0,4631,10,Midlane
Aboy,Angela,3,0,7,28550,35335,1899,9362,15,Midlane
Clayyy,Luo Yi,2,3,3,57285,51650,0,7839,13,Midlane
Aboy,Luo Yi,5,3,4,56420,75910,900,9197,15,Midlane
Clayyy,Vexana,5,4,7,54695,31798,4654,10646,15,Midlane
Aboy,Faramis,2,7,18,89797,95834,3046,10934,15,Midlane
Clayyy,Luo Yi,9,2,14,114415,54044,4091,12264,15,Midlane
Aboy,Vexana,4,3,8,64431,35948,3382,13893,15,Midlane
Clayyy,Luo Yi,1,2,4,75709,48291,1583,10976,15,Midlane
Yehezkiel,Novaria,2,1,15,186209,26583,1434,17571,15,Midlane
Clawkun,Luo Yi,4,3,11,133413,78391,1632,16864,15,Midlane
Yehezkiel,Vexana,2,1,8,59173,27491,334,7985,14,Midlane
Clawkun,Luo Yi,2,3,6,47513,40132,4473,7813,14,Midlane
Yehezkiel,Novaria,0,1,1,20601,8670,0,5501,11,Midlane
Clawkun,Luo Yi,0,1,5,29603,18792,0,6265,12,Midlane
Sanz,Kadita,6,4,7,36144,48919,1365,9610,15,Midlane
Aboy,Luo Yi,2,4,14,42560,62424,0,9614,15,Midlane
Sanz,Pharsa,2,2,11,56970,53275,0,10829,15,Midlane
Aboy,Novaria,2,0,15,92605,14767,6299,14486,15,Midlane
Sanz,Faramis,2,3,1,51066,101965,0,7541,13,Midlane
Aboy,Novaria,2,1,8,57765,29619,4939,9662,15,Midlane
Sanz,Luo Yi,6,3,12,84912,44413,2599,11028,15,Midlane
Aboy,Novaria,3,4,7,49270,38112,366,10807,15,Midlane
Sanz,Pharsa,3,0,3,86867,21244,1883,10394,15,Midlane
Aboy,Faramis,0,1,3,43228,96695,2300,7952,14,Midlane
Moreno,Valentina,0,2,5,34426,38638,285,6907,13,Midlane
Clawkun,Novaria,4,0,12,51141,7057,3425,9743,15,Midlane
Moreno,Pharsa,0,2,6,42960,24770,0,6983,13,Midlane
Clawkun,Valentina,1,1,9,36348,32526,2485,9038,15,Midlane
Moreno,Cecilion,9,1,9,86037,39250,3516,12196,15,Midlane
Clawkun,Novaria,1,1,7,71601,22987,1266,9425,14,Midlane
Moreno,Cecilion,2,1,4,57252,21921,1320,8079,13,Midlane
Clawkun,Valentina,0,0,9,33386,27854,3139,7693,13,Midlane
Moreno,Valentina,0,4,7,39585,60079,1628,8139,14,Midlane
Aboy,Luo Yi,7,2,13,78766,53140,2053,9700,15,Midlane
Moreno,Luo Yi,6,3,6,86298,44406,2163,9466,15,Midlane
Aboy,Faramis,5,3,9,49823,79641,1858,10523,15,Midlane
Moreno,Novaria,5,1,2,134853,22255,0,17392,15,Midlane
Aboy,Faramis,6,2,7,180741,114058,4010,18151,15,Midlane
Sanz,Valentina,3,1,13,39639,41225,1033,8927,15,Midlane
Clawkun,Luo Yi,0,3,5,37360,33690,0,6198,12,Midlane
Sanz,Kadita,3,1,9,32190,35459,2456,6809,12,Midlane
Clawkun,Valentina,1,2,1,31880,35018,0,6391,12,Midlane
Sanz,Angela,2,2,8,18482,22887,308,6547,11,Midlane
Clawkun,Nana,2,3,3,27694,27113,0,5000,10,Midlane
Clawkun,Novaria,0,3,4,50526,20613,0,9839,15,Midlane
Aboy,Luo Yi,5,1,13,69479,39160,2716,11752,15,Midlane
Clawkun,Valentina,2,1,10,51160,62709,808,9301,15,Midlane
Aboy,Faramis,1,2,0,40496,63606,0,8160,14,Midlane
Clawkun,Vexana,0,3,9,46961,28580,0,8752,15,Midlane
Aboy,Luo Yi,7,2,9,85583,49986,1140,11682,15,Midlane
Clawkun,Novaria,8,1,9,74072,16256,1503,13506,15,Midlane
Aboy,Luo Yi,4,3,8,79455,79887,0,10861,15,Midlane
Clawkun,Novaria,1,0,13,144530,28325,393,17907,15,Midlane
Aboy,Luo Yi,3,3,11,91743,106017,4455,17191,15,Midlane
Sanz,Pharsa,3,1,5,86870,21250,1890,10404,15,Midlane
Clawkun,Valentina,2,1,9,39550,60045,1595,8113,15,Midlane
Sanz,Pharsa,3,1,10,58882,26741,807,11259,15,Midlane
Clawkun,Valentina,3,3,5,68502,74401,1912,10421,15,Midlane
Sanz,Pharsa,1,1,12,80669,42881,1779,13585,15,Midlane
Clawkun,Valentina,4,5,5,73512,78733,1854,12192,15,Midlane
Sanz,Angela,1,1,4,33579,23055,0,7992,14,Midlane
Clawkun,Faramis,2,1,12,65938,57691,2080,10496,15,Midlane
Sanz,Valentina,0,2,0,65437,50191,368,11998,15,Midlane
Clawkun,Faramis,1,1,9,52270,58327,526,10569,15,Midlane
Sanz,Gord,0,1,6,60048,16215,1133,9852,15,Midlane
Clawkun,Valentina,2,1,0,36262,48107,0,7650,14,Midlane
