Player_Name,Hero_Pick,Kill,Death,Assist,Damage_Dealt,Damage_Taken,Damage_Turret,Gold,Level,Player_Role
Baloyskie,Helcurt,6,2,4,27795,39370,6162,6933,12,Roamer
Vyn,Minotaur,0,5,3,12750,64067,0,4246,10,Roamer
Baloyskie,Helcurt,7,2,5,49859,42306,6516,10019,15,Roamer
Vyn,Mathilda,2,2,3,24140,53280,676,7843,13,Roamer
Baloyskie,Mathilda,2,4,11,29457,106464,978,8860,15,Roamer
Vyn,Chip,2,6,10,35082,146990,38,9666,15,Roamer
Baloyskie,Franco,2,5,15,15752,118654,745,8745,15,Roamer
Vyn,Minotaur,1,7,19,24267,137959,1294,10600,15,Roamer
Baloyskie,Floryn,2,2,10,14399,39611,352,11049,15,Roamer
Vyn,Arlott,2,5,6,30467,123130,180,10704,15,Roamer
Yawi,Grock,0,4,15,27545,203617,0,14072,15,Roamer
Dreams,Tigreal,0,5,13,18668,287050,620,15973,15,Roamer
Yawi,Grock,0,4,6,9132,93945,0,6435,13,Roamer
Dreams,Minotaur,0,4,8,12391,88890,2663,7733,13,Roamer
Yawi,Grock,0,1,3,9424,58800,0,4537,10,Roamer
Dreams,Tigreal,1,3,3,11751,47773,0,5640,11,Roamer
Kiboy,Chip,1,8,12,35643,119197,29,8523,15,Roamer
Baloyskie,Ruby,3,4,10,16158,79326,0,8283,14,Roamer
Kiboy,Chip,0,7,13,43115,199187,0,8981,15,Roamer
Baloyskie,Ruby,0,6,9,16530,127021,1588,9909,15,Roamer
Kiboy,Mathilda,0,0,3,18003,57983,276,6301,13,Roamer
Baloyskie,Floryn,1,0,9,11673,34563,3058,7416,14,Roamer
Kiboy,Ruby,1,4,15,25765,102078,1414,9721,15,Roamer
Baloyskie,Franco,1,5,7,16785,90117,0,8267,15,Roamer
Kiboy,Edith,1,3,5,20789,89495,696,7419,14,Roamer
Baloyskie,Floryn,0,1,3,12284,32781,320,6765,14,Roamer
Kyy,Franco,0,4,4,10031,53819,0,5135,11,Roamer
Dreams,Minotaur,1,2,13,22360,79755,724,7472,14,Roamer
Kyy,Chip,0,6,6,32814,117822,0,5929,12,Roamer
Dreams,Edith,3,4,12,37426,80070,4157,9220,15,Roamer
Kyy,Chip,1,3,16,42622,112275,960,8368,14,Roamer
Dreams,Carmilla,2,1,6,22132,124489,0,7871,14,Roamer
Kyy,Edith,2,2,2,14798,45323,590,5493,11,Roamer
Dreams,Tigreal,0,3,6,6252,67866,0,5660,11,Roamer
Kyy,Chip,1,6,5,37873,99514,0,7428,13,Roamer
Baloyskie,Kaja,1,3,14,21622,81881,1296,8154,14,Roamer
Kyy,Arlott,1,8,4,26845,117890,0,6809,13,Roamer
Baloyskie,Kaja,1,4,11,24049,101907,1490,8535,15,Roamer
Kyy,Minotaur,0,6,3,17575,193739,0,11130,15,Roamer
Baloyskie,Chip,1,2,12,44204,177644,114,12626,15,Roamer
Kiboy,Grock,2,1,13,15836,86721,525,7486,13,Roamer
Dreams,Edith,1,4,3,19042,68891,0,6087,11,Roamer
Kiboy,Ruby,0,2,12,18949,64048,795,6831,13,Roamer
Dreams,Edith,1,4,1,17570,46934,0,5858,12,Roamer
Kiboy,Edith,1,3,9,16316,54152,542,5897,11,Roamer
Dreams,Tigreal,0,4,4,11115,76844,0,4334,9,Roamer
Dreams,Ruby,0,5,5,24232,91100,0,8117,15,Roamer
Baloyskie,Edith,2,3,15,35313,116451,3840,10635,15,Roamer
Dreams,Chip,3,0,5,26888,53273,292,7469,14,Roamer
Baloyskie,Minotaur,1,3,1,7422,72987,0,6511,12,Roamer
Dreams,Tigreal,0,4,5,9035,122107,0,7343,14,Roamer
Baloyskie,Ruby,0,3,13,18013,75562,164,8571,15,Roamer
Dreams,Minotaur,0,3,12,20710,135629,0,9750,15,Roamer
Baloyskie,Ruby,2,5,3,15317,103851,806,7897,15,Roamer
Dreams,Chip,0,6,12,50114,204203,155,13957,15,Roamer
Baloyskie,Helcurt,3,6,6,46823,83589,6977,18685,15,Roamer
Kiboy,Ruby,0,5,3,18745,86955,0,6690,13,Roamer
Dreams,Minotaur,0,2,8,8422,73050,150,7511,14,Roamer
Kiboy,Edith,3,2,11,37189,120603,2127,9619,15,Roamer
Dreams,Ruby,0,4,7,11998,94651,0,8942,15,Roamer
Kiboy,Arlott,0,4,11,35814,117185,1560,11879,15,Roamer
Dreams,Minotaur,1,4,6,16780,180854,0,9586,15,Roamer
Kiboy,Ruby,0,3,4,18743,86952,0,6683,13,Roamer
Dreams,Franco,0,2,10,10605,54415,157,7913,15,Roamer
Kiboy,Grock,0,3,1,25812,185348,0,9303,15,Roamer
Dreams,Franco,2,0,8,14962,80277,162,10843,15,Roamer
Kiboy,Angela,0,0,8,21686,10843,3179,8612,15,Roamer
Dreams,Kaja,0,4,0,12479,74241,0,6354,13,Roamer
