Player_Name,Hero_Pick,Kill,Death,Assist,Damage_Dealt,Damage_Taken,Damage_Turret,Gold,Level,Player_Role
Reyy,Ling,4,0,10,29512,30466,3192,10540,15,Jungler
Luke,Barats,1,0,13,23618,76514,594,7201,12,Explane
Aboy,Faramis,2,1,15,48185,40293,3997,7649,12,Midlane
Baloyskie,Helcurt,6,2,4,27795,39370,6162,6933,12,Roamer
Caderaa,Harith,5,1,11,56072,28590,24879,9159,13,Goldlane
Vyn,Minotaur,0,5,3,12750,64067,0,4246,10,Roamer
Clayyy,Valentina,0,3,4,23804,51091,0,4631,10,Midlane
Skylar,Roger,2,2,0,15503,36655,175,6093,11,Goldlane
Donn,Esmeralda,0,3,2,32361,83104,0,5126,10,Explane
1rrad,Baxia,2,5,1,18400,97319,0,4871,10,Jungler
Reyy,Baxia,2,2,7,23978,100989,595,9158,15,Jungler
Luke,Ruby,1,0,9,37653,84374,3414,9494,15,Explane
Aboy,Angela,3,0,7,28550,35335,1899,9362,15,Midlane
Baloyskie,Helcurt,7,2,5,49859,42306,6516,10019,15,Roamer
Caderaa,Harith,2,1,7,58655,54740,20269,10916,15,Goldlane
Vyn,Mathilda,2,2,3,24140,53280,676,7843,13,Roamer
Clayyy,Luo Yi,2,3,3,57285,51650,0,7839,13,Midlane
Skylar,Karrie,0,2,3,17618,51520,8781,10455,15,Goldlane
Donn,Thamuz,1,5,2,29804,107163,0,8166,14,Explane
1rrad,Fredrinn,0,3,3,33132,113436,0,7953,14,Jungler
Reyy,Barats,1,2,5,35704,157654,0,9201,15,Jungler
Luke,Yu Zhong,3,5,3,44568,114057,0,8831,15,Explane
Aboy,Luo Yi,5,3,4,56420,75910,900,9197,15,Midlane
Baloyskie,Mathilda,2,4,11,29457,106464,978,8860,15,Roamer
Caderaa,Natan,4,5,3,58614,73359,12252,13514,15,Goldlane
Vyn,Chip,2,6,10,35082,146990,38,9666,15,Roamer
Clayyy,Vexana,5,4,7,54695,31798,4654,10646,15,Midlane
Skylar,Roger,6,0,10,52996,50922,14855,14123,15,Goldlane
Donn,Esmeralda,5,2,5,77370,196818,4117,12576,15,Explane
1rrad,Fredrinn,1,3,8,34206,102486,263,10663,15,Jungler
Reyy,Baxia,7,3,13,42127,170198,0,9831,15,Jungler
Luke,Lapu-Lapu,3,4,12,49838,128533,363,10600,15,Explane
Aboy,Faramis,2,7,18,89797,95834,3046,10934,15,Midlane
Baloyskie,Franco,2,5,15,15752,118654,745,8745,15,Roamer
Caderaa,Karrie,7,4,6,69603,77003,6643,13684,15,Goldlane
Vyn,Minotaur,1,7,19,24267,137959,1294,10600,15,Roamer
Clayyy,Luo Yi,9,2,14,114415,54044,4091,12264,15,Midlane
Skylar,Roger,7,2,7,59895,69160,11653,16099,15,Goldlane
Donn,Arlott,0,8,10,26881,98532,2891,10498,15,Explane
1rrad,Fredrinn,6,2,9,54023,151360,522,12186,15,Jungler
Reyy,Fredrinn,4,3,7,23927,107827,222,11347,15,Jungler
Luke,Ruby,1,0,12,47202,94473,5082,13720,15,Explane
Aboy,Vexana,4,3,8,64431,35948,3382,13893,15,Midlane
Baloyskie,Floryn,2,2,10,14399,39611,352,11049,15,Roamer
Caderaa,Karrie,3,2,7,70532,54030,11979,15968,15,Goldlane
Vyn,Arlott,2,5,6,30467,123130,180,10704,15,Roamer
Clayyy,Luo Yi,1,2,4,75709,48291,1583,10976,15,Midlane
Skylar,Roger,5,1,3,40718,59830,23026,16633,15,Goldlane
Donn,Yu Zhong,1,3,7,25818,87731,2631,11032,15,Explane
1rrad,Akai,1,3,4,18172,114206,1226,10680,15,Jungler
Yehezkiel,Novaria,2,1,15,186209,26583,1434,17571,15,Midlane
Aran,Benedetta,6,5,6,81467,132404,3366,22208,15,Explane
Gugunnn,Baxia,1,6,15,51170,245431,0,14929,15,Jungler
Yawi,Grock,0,4,15,27545,203617,0,14072,15,Roamer
Kabuki,Karrie,9,0,4,132452,67163,16025,19841,15,Goldlane
Clawkun,Luo Yi,4,3,11,133413,78391,1632,16864,15,Midlane
Fluffy,Yu Zhong,5,2,7,35374,189351,3651,20176,15,Explane
Branz,Roger,10,4,6,130103,118383,9999,25905,15,Goldlane
Dreams,Tigreal,0,5,13,18668,287050,620,15973,15,Roamer
Anavel,Akai,1,4,7,26490,253377,651,16753,15,Jungler
Yehezkiel,Vexana,2,1,8,59173,27491,334,7985,14,Midlane
Aran,Cici,4,1,3,50822,72242,142,8646,14,Explane
Gugunnn,Baxia,1,4,8,22231,95402,0,7645,15,Jungler
Yawi,Grock,0,4,6,9132,93945,0,6435,13,Roamer
Kabuki,Claude,4,0,1,54244,36607,3909,11471,15,Goldlane
Clawkun,Luo Yi,2,3,6,47513,40132,4473,7813,14,Midlane
Fluffy,Terizla,0,1,6,34747,125683,2008,9239,15,Explane
