Player_Name,Hero_Pick,Player_Role,KDA,Damage_Dealt,Damage_Taken,Damage_Turret,Gold,Level
Caderaa,Harith,Goldlane,16.0,56072,28590,24879,9159,13
Skylar,Roger,Goldlane,1.0,15503,36655,175,6093,11
Caderaa,Harith,Goldlane,9.0,58655,54740,20269,10916,15
Skylar,Karrie,Goldlane,1.5,17618,51520,8781,10455,15
Caderaa,Natan,Goldlane,1.4,58614,73359,12252,13514,15
Skylar,Roger,Goldlane,16.0,52996,50922,14855,14123,15
Caderaa,Karrie,Goldlane,3.25,69603,77003,6643,13684,15
Skylar,Roger,Goldlane,7.0,59895,69160,11653,16099,15
Caderaa,Karrie,Goldlane,5.0,70532,54030,11979,15968,15
Skylar,Roger,Goldlane,8.0,40718,59830,23026,16633,15
Kabuki,Karrie,Goldlane,13.0,132452,67163,16025,19841,15
Branz,Roger,Goldlane,4.0,130103,118383,9999,25905,15
Kabuki,Claude,Goldlane,5.0,54244,36607,3909,11471,15
Branz,Roger,Goldlane,7.0,50126,41329,14568,13497,15
Kabuki,Roger,Goldlane,1.33,20059,41824,0,7948,12
Branz,Claude,Goldlane,3.0,23903,14293,23028,10479,14
Cw,Moskov,Goldlane,15.0,83620,35300,24947,15647,15
Caderaa,Natan,Goldlane,3.0,55343,45036,2777,12789,15
Cw,Roger,Goldlane,7.5,76645,102493,7144,15987,15
Caderaa,Moskov,Goldlane,13.0,104446,60842,12755,16558,15
Cw,Natan,Goldlane,1.0,72567,59104,5461,10622,15
Caderaa,Claude,Goldlane,11.0,85972,73377,28075,13076,15
Cw,Karrie,Goldlane,12.0,68729,46087,14036,15388,15
Caderaa,Claude,Goldlane,1.75,51178,74434,1125,12600,15
Cw,Claude,Goldlane,4.0,27845,48602,21497,12710,15
Caderaa,Natan,Goldlane,1.5,75795,51060,8865,11868,15
Emann,Natan,Goldlane,2.0,53904,41207,3502,11096,15
Branz,Harith,Goldlane,17.0,75721,33614,14995,12810,15
Emann,Natan,Goldlane,4.0,45247,33237,60,9501,15
Branz,Claude,Goldlane,11.0,39167,22768,24115,13253,15
Emann,Roger,Goldlane,13.0,48870,86925,14188,13011,15
Branz,Claude,Goldlane,2.0,53535,89023,3145,10732,15
Emann,Roger,Goldlane,1.5,36501,39174,7503,9124,13
Branz,Moskov,Goldlane,7.0,20187,23273,16454,9502,14
Emann,Karrie,Goldlane,0.8,49342,69635,10025,10868,15
Caderaa,Moskov,Goldlane,17.0,52188,45930,16349,10967,15
Emann,Natan,Goldlane,3.0,46795,45257,11790,11142,15
Caderaa,Moskov,Goldlane,14.0,69112,51397,22997,13111,15
Emann,Moskov,Goldlane,3.5,97060,86398,0,22622,15
Caderaa,Claude,Goldlane,13.0,92707,89526,16264,19130,15
Cw,Roger,Goldlane,12.0,35135,24747,24207,11788,15
Branz,Claude,Goldlane,2.0,39029,30603,2929,10387,15
Cw,Roger,Goldlane,11.0,58540,46538,14153,11914,15
Branz,Claude,Goldlane,1.5,24800,41819,3804,9469,14
Cw,Claude,Goldlane,7.0,27432,21361,18849,9479,13
Branz,Roger,Goldlane,0.67,20490,42673,0,5945,10
Branz,Roger,Goldlane,1.5,48160,57755,0,13315,15
Caderaa,Claude,Goldlane,11.0,47573,55014,28812,15279,15
Branz,Roger,Goldlane,7.0,34033,36957,21771,12182,15
Caderaa,Claude,Goldlane,0.5,39649,42001,116,10365,14
Branz,Roger,Goldlane,5.0,38006,55145,823,13216,15
Caderaa,Claude,Goldlane,11.0,75092,32206,19197,14032,15
Branz,Moskov,Goldlane,7.5,69581,80884,10758,16953,15
Caderaa,Claude,Goldlane,11.0,106078,87949,10172,13759,15
Branz,Claude,Goldlane,7.0,101384,67483,11982,22524,15
Caderaa,Roger,Goldlane,15.0,119248,143804,9350,24039,15
Cw,Claude,Goldlane,4.0,27900,48650,21500,13110,15
Branz,Roger,Goldlane,5.0,66735,47353,13499,15129,15
Cw,Roger,Goldlane,14.0,55005,43991,21035,15939,15
Branz,Karrie,Goldlane,3.0,68303,55279,6655,13612,15
Cw,Roger,Goldlane,13.0,93527,69266,7404,17860,15
Branz,Karrie,Goldlane,2.33,67364,80645,0,14925,15
Cw,Cici,Goldlane,1.0,52207,85932,0,9144,15
Branz,Roger,Goldlane,13.0,66733,47350,13496,15127,15
Cw,Roger,Goldlane,1.0,51062,29507,10245,15009,15
Branz,Beatrix,Goldlane,9.0,70511,39971,6201,16684,15
Cw,Claude,Goldlane,6.0,51961,54612,20172,12667,15
Branz,Karrie,Goldlane,0.5,35109,41137,2838,9490,14
