Player_Name,Hero_Pick,Player_Role,KDA,Damage_Dealt,Damage_Taken,Damage_Turret,Gold,Level
Reyy,Ling,Jungler,14.0,29512,30466,3192,10540,15
1rrad,Baxia,Jungler,0.6,18400,97319,0,4871,10
Reyy,Baxia,Jungler,4.5,23978,100989,595,9158,15
1rrad,Fredrinn,Jungler,1.0,33132,113436,0,7953,14
Reyy,Barats,Jungler,3.0,35704,157654,0,9201,15
1rrad,Fredrinn,Jungler,3.0,34206,102486,263,10663,15
Reyy,Baxia,Jungler,6.67,42127,170198,0,9831,15
1rrad,Fredrinn,Jungler,7.5,54023,151360,522,12186,15
Reyy,Fredrinn,Jungler,3.67,23927,107827,222,11347,15
1rrad,Akai,Jungler,1.67,18172,114206,1226,10680,15
Gugunnn,Baxia,Jungler,2.67,51170,245431,0,14929,15
Anavel,Akai,Jungler,2.0,26490,253377,651,16753,15
Gugunnn,Baxia,Jungler,2.25,22231,95402,0,7645,15
Anavel,Alpha,Jungler,2.0,38940,82547,9809,11099,15
Gugunnn,Baxia,Jungler,2.0,11759,66135,0,4809,11
Anavel,Nolan,Jungler,7.0,29074,15032,7869,11174,15
Kairi,Baxia,Jungler,7.5,22940,73301,1026,10408,15
Reyy,Fredrinn,Jungler,1.5,20997,101505,0,8721,15
Kairi,Baxia,Jungler,8.0,39591,221057,0,10600,15
Reyy,Fredrinn,Jungler,2.6,48051,176492,1009,11463,15
Kairi,Akai,Jungler,1.0,22160,181382,0,7015,14
Reyy,Fredrinn,Jungler,12.0,39867,119526,1416,8865,15
Kairi,Fanny,Jungler,14.0,45069,29054,7097,14254,15
Reyy,Barats,Jungler,3.5,37786,113227,133,9871,15
Kairi,Baxia,Jungler,8.0,20010,82772,0,8974,15
Reyy,Barats,Jungler,1.5,29262,150733,944,7745,14
Super Kenn,Fredrinn,Jungler,1.0,30307,102122,0,7206,14
Anavel,Baxia,Jungler,6.5,30709,146212,528,8360,15
Super Kenn,Roger,Jungler,2.0,37106,73533,4484,10505,15
Anavel,Fredrinn,Jungler,10.0,19028,94321,2217,9116,15
Super Kenn,Baxia,Jungler,2.75,25203,96747,0,8178,15
Anavel,Fredrinn,Jungler,1.29,30542,181628,0,8588,14
Super Kenn,Baxia,Jungler,3.0,12354,46012,0,6626,13
Anavel,Alpha,Jungler,4.5,24939,60921,3100,9374,15
Super Kenn,Barats,Jungler,1.67,33392,126795,0,9205,15
Reyy,Fredrinn,Jungler,19.0,29729,111585,3194,10151,15
Super Kenn,Barats,Jungler,3.33,41573,133795,400,8750,15
Reyy,Fredrinn,Jungler,17.0,34318,146998,774,10418,15
Super Kenn,Baxia,Jungler,5.0,33251,245828,0,11620,15
Reyy,Fredrinn,Jungler,5.5,27860,157078,647,12865,15
Kairi,Julian,Jungler,7.0,35060,32752,8043,11014,15
Anavel,Alpha,Jungler,0.75,22821,57355,0,8615,15
Kairi,Baxia,Jungler,11.0,33863,102298,0,7736,15
Anavel,Akai,Jungler,1.0,12412,117648,0,6132,12
Kairi,Julian,Jungler,10.0,39252,20651,11382,9190,15
Anavel,Ling,Jungler,1.5,21532,28760,0,6440,13
Anavel,Baxia,Jungler,0.67,33193,171421,0,8588,15
Reyy,Fredrinn,Jungler,14.0,24088,100575,2757,12223,15
Anavel,Lancelot,Jungler,14.0,62353,28342,7531,13855,15
Reyy,Fredrinn,Jungler,0.33,16350,81097,0,6507,13
Anavel,Alpha,Jungler,1.75,36051,74416,0,10717,15
Reyy,Fredrinn,Jungler,12.0,18072,72594,5295,11002,15
Anavel,Fredrinn,Jungler,3.67,33684,179690,1388,10568,15
Reyy,Ling,Jungler,3.0,44202,57347,2410,16335,15
Anavel,Nolan,Jungler,3.5,57555,60523,11395,22040,15
Reyy,Fredrinn,Jungler,7.0,39194,299876,1115,15931,15
Kairi,Fredrinn,Jungler,1.33,29620,169518,2970,9710,15
Anavel,Lancelot,Jungler,3.5,62453,29342,8531,14855,15
Kairi,Fanny,Jungler,5.5,47833,44787,5302,14518,15
Anavel,Nolan,Jungler,1.5,22289,47659,4838,14344,15
Kairi,Fredrinn,Jungler,3.0,41341,162003,531,12613,15
Anavel,Ling,Jungler,4.5,49951,71724,2140,16994,15
Kairi,Ling,Jungler,1.25,27774,51925,0,11250,15
Anavel,Fredrinn,Jungler,5.0,29618,169516,2968,9705,15
Kairi,Nolan,Jungler,1.0,60722,36064,8155,15967,15
Anavel,Fredrinn,Jungler,10.0,34586,162557,1072,11091,15
Kairi,Baxia,Jungler,5.0,21407,98864,171,9136,15
Anavel,Fredrinn,Jungler,0.0,9987,100321,0,6583,13
