Player_Name,Hero_Pick,Player_Role,KDA,Damage_Dealt,Damage_Taken,Damage_Turret,Gold,Level
Aboy,Faramis,Midlane,17.0,48185,40293,3997,7649,12
Clayyy,Valentina,Midlane,1.33,23804,51091,0,4631,10
Aboy,Angela,Midlane,10.0,28550,35335,1899,9362,15
Clayyy,Luo Yi,Midlane,1.67,57285,51650,0,7839,13
Aboy,Luo Yi,Midlane,3.0,56420,75910,900,9197,15
Clayyy,Vexana,Midlane,3.0,54695,31798,4654,10646,15
Aboy,Faramis,Midlane,2.86,89797,95834,3046,10934,15
Clayyy,Luo Yi,Midlane,11.5,114415,54044,4091,12264,15
Aboy,Vexana,Midlane,4.0,64431,35948,3382,13893,15
Clayyy,Luo Yi,Midlane,2.5,75709,48291,1583,10976,15
Yehezkiel,Novaria,Midlane,17.0,186209,26583,1434,17571,15
Clawkun,Luo Yi,Midlane,5.0,133413,78391,1632,16864,15
Yehezkiel,Vexana,Midlane,10.0,59173,27491,334,7985,14
Clawkun,Luo Yi,Midlane,2.67,47513,40132,4473,7813,14
Yehezkiel,Novaria,Midlane,1.0,20601,8670,0,5501,11
Clawkun,Luo Yi,Midlane,5.0,29603,18792,0,6265,12
Sanz,Kadita,Midlane,3.25,36144,48919,1365,9610,15
Aboy,Luo Yi,Midlane,4.0,42560,62424,0,9614,15
Sanz,Pharsa,Midlane,6.5,56970,53275,0,10829,15
Aboy,Novaria,Midlane,17.0,92605,14767,6299,14486,15
Sanz,Faramis,Midlane,1.0,51066,101965,0,7541,13
Aboy,Novaria,Midlane,10.0,57765,29619,4939,9662,15
Sanz,Luo Yi,Midlane,6.0,84912,44413,2599,11028,15
Aboy,Novaria,Midlane,2.5,49270,38112,366,10807,15
Sanz,Pharsa,Midlane,6.0,86867,21244,1883,10394,15
Aboy,Faramis,Midlane,3.0,43228,96695,2300,7952,14
Moreno,Valentina,Midlane,2.5,34426,38638,285,6907,13
Clawkun,Novaria,Midlane,16.0,51141,7057,3425,9743,15
Moreno,Pharsa,Midlane,3.0,42960,24770,0,6983,13
Clawkun,Valentina,Midlane,10.0,36348,32526,2485,9038,15
Moreno,Cecilion,Midlane,18.0,86037,39250,3516,12196,15
Clawkun,Novaria,Midlane,8.0,71601,22987,1266,9425,14
Moreno,Cecilion,Midlane,6.0,57252,21921,1320,8079,13
Clawkun,Valentina,Midlane,9.0,33386,27854,3139,7693,13
Moreno,Valentina,Midlane,1.75,39585,60079,1628,8139,14
Aboy,Luo Yi,Midlane,10.0,78766,53140,2053,9700,15
Moreno,Luo Yi,Midlane,4.0,86298,44406,2163,9466,15
Aboy,Faramis,Midlane,4.67,49823,79641,1858,10523,15
Moreno,Novaria,Midlane,7.0,134853,22255,0,17392,15
Aboy,Faramis,Midlane,6.5,180741,114058,4010,18151,15
Sanz,Valentina,Midlane,16.0,39639,41225,1033,8927,15
Clawkun,Luo Yi,Midlane,1.67,37360,33690,0,6198,12
Sanz,Kadita,Midlane,12.0,32190,35459,2456,6809,12
Clawkun,Valentina,Midlane,1.0,31880,35018,0,6391,12
Sanz,Angela,Midlane,5.0,18482,22887,308,6547,11
Clawkun,Nana,Midlane,1.67,27694,27113,0,5000,10
Clawkun,Novaria,Midlane,1.33,50526,20613,0,9839,15
Aboy,Luo Yi,Midlane,18.0,69479,39160,2716,11752,15
Clawkun,Valentina,Midlane,12.0,51160,62709,808,9301,15
Aboy,Faramis,Midlane,0.5,40496,63606,0,8160,14
Clawkun,Vexana,Midlane,3.0,46961,28580,0,8752,15
Aboy,Luo Yi,Midlane,8.0,85583,49986,1140,11682,15
Clawkun,Novaria,Midlane,17.0,74072,16256,1503,13506,15
Aboy,Luo Yi,Midlane,4.0,79455,79887,0,10861,15
Clawkun,Novaria,Midlane,14.0,144530,28325,393,17907,15
Aboy,Luo Yi,Midlane,4.67,91743,106017,4455,17191,15
Sanz,Pharsa,Midlane,8.0,86870,21250,1890,10404,15
Clawkun,Valentina,Midlane,11.0,39550,60045,1595,8113,15
Sanz,Pharsa,Midlane,13.0,58882,26741,807,11259,15
Clawkun,Valentina,Midlane,2.67,68502,74401,1912,10421,15
Sanz,Pharsa,Midlane,13.0,80669,42881,1779,13585,15
Clawkun,Valentina,Midlane,1.8,73512,78733,1854,12192,15
Sanz,Angela,Midlane,5.0,33579,23055,0,7992,14
Clawkun,Faramis,Midlane,14.0,65938,57691,2080,10496,15
Sanz,Valentina,Midlane,0.0,65437,50191,368,11998,15
Clawkun,Faramis,Midlane,10.0,52270,58327,526,10569,15
Sanz,Gord,Midlane,6.0,60048,16215,1133,9852,15
Clawkun,Valentina,Midlane,2.0,36262,48107,0,7650,14
