Player_Name,Hero_Pick,Player_Role,KDA,Damage_Dealt,Damage_Taken,Damage_Turret,Gold,Level
Baloyskie,Helcurt,Roamer,5.0,27795,39370,6162,6933,12
Vyn,Minotaur,Roamer,0.6,12750,64067,0,4246,10
Baloyskie,Helcurt,Roamer,6.0,49859,42306,6516,10019,15
Vyn,Mathilda,Roamer,2.5,24140,53280,676,7843,13
Baloyskie,Mathilda,Roamer,3.25,29457,106464,978,8860,15
Vyn,Chip,Roamer,2.0,35082,146990,38,9666,15
Baloyskie,Franco,Roamer,3.4,15752,118654,745,8745,15
Vyn,Minotaur,Roamer,2.86,24267,137959,1294,10600,15
Baloyskie,Floryn,Roamer,6.0,14399,39611,352,11049,15
Vyn,Arlott,Roamer,1.6,30467,123130,180,10704,15
Yawi,Grock,Roamer,3.75,27545,203617,0,14072,15
Dreams,Tigreal,Roamer,2.6,18668,287050,620,15973,15
Yawi,Grock,Roamer,1.5,9132,93945,0,6435,13
Dreams,Minotaur,Roamer,2.0,12391,88890,2663,7733,13
Yawi,Grock,Roamer,3.0,9424,58800,0,4537,10
Dreams,Tigreal,Roamer,1.33,11751,47773,0,5640,11
Kiboy,Chip,Roamer,1.62,35643,119197,29,8523,15
Baloyskie,Ruby,Roamer,3.25,16158,79326,0,8283,14
Kiboy,Chip,Roamer,1.86,43115,199187,0,8981,15
Baloyskie,Ruby,Roamer,1.5,16530,127021,1588,9909,15
Kiboy,Mathilda,Roamer,3.0,18003,57983,276,6301,13
Baloyskie,Floryn,Roamer,10.0,11673,34563,3058,7416,14
Kiboy,Ruby,Roamer,4.0,25765,102078,1414,9721,15
Baloyskie,Franco,Roamer,1.6,16785,90117,0,8267,15
Kiboy,Edith,Roamer,2.0,20789,89495,696,7419,14
Baloyskie,Floryn,Roamer,3.0,12284,32781,320,6765,14
Kyy,Franco,Roamer,1.0,10031,53819,0,5135,11
Dreams,Minotaur,Roamer,7.0,22360,79755,724,7472,14
Kyy,Chip,Roamer,1.0,32814,117822,0,5929,12
Dreams,Edith,Roamer,3.75,37426,80070,4157,9220,15
Kyy,Chip,Roamer,5.67,42622,112275,960,8368,14
Dreams,Carmilla,Roamer,8.0,22132,124489,0,7871,14
Kyy,Edith,Roamer,2.0,14798,45323,590,5493,11
Dreams,Tigreal,Roamer,2.0,6252,67866,0,5660,11
Kyy,Chip,Roamer,1.0,37873,99514,0,7428,13
Baloyskie,Kaja,Roamer,5.0,21622,81881,1296,8154,14
Kyy,Arlott,Roamer,0.62,26845,117890,0,6809,13
Baloyskie,Kaja,Roamer,3.0,24049,101907,1490,8535,15
Kyy,Minotaur,Roamer,0.5,17575,193739,0,11130,15
Baloyskie,Chip,Roamer,6.5,44204,177644,114,12626,15
Kiboy,Grock,Roamer,15.0,15836,86721,525,7486,13
Dreams,Edith,Roamer,1.0,19042,68891,0,6087,11
Kiboy,Ruby,Roamer,6.0,18949,64048,795,6831,13
Dreams,Edith,Roamer,0.5,17570,46934,0,5858,12
Kiboy,Edith,Roamer,3.33,16316,54152,542,5897,11
Dreams,Tigreal,Roamer,1.0,11115,76844,0,4334,9
Dreams,Ruby,Roamer,1.0,24232,91100,0,8117,15
Baloyskie,Edith,Roamer,5.67,35313,116451,3840,10635,15
Dreams,Chip,Roamer,8.0,26888,53273,292,7469,14
Baloyskie,Minotaur,Roamer,0.67,7422,72987,0,6511,12
Dreams,Tigreal,Roamer,1.25,9035,122107,0,7343,14
Baloyskie,Ruby,Roamer,4.33,18013,75562,164,8571,15
Dreams,Minotaur,Roamer,4.0,20710,135629,0,9750,15
Baloyskie,Ruby,Roamer,1.0,15317,103851,806,7897,15
Dreams,Chip,Roamer,2.0,50114,204203,155,13957,15
Baloyskie,Helcurt,Roamer,1.5,46823,83589,6977,18685,15
Kiboy,Ruby,Roamer,0.6,18745,86955,0,6690,13
Dreams,Minotaur,Roamer,4.0,8422,73050,150,7511,14
Kiboy,Edith,Roamer,7.0,37189,120603,2127,9619,15
Dreams,Ruby,Roamer,1.75,11998,94651,0,8942,15
Kiboy,Arlott,Roamer,2.75,35814,117185,1560,11879,15
Dreams,Minotaur,Roamer,1.75,16780,180854,0,9586,15
Kiboy,Ruby,Roamer,1.33,18743,86952,0,6683,13
Dreams,Franco,Roamer,5.0,10605,54415,157,7913,15
Kiboy,Grock,Roamer,0.33,25812,185348,0,9303,15
Dreams,Franco,Roamer,10.0,14962,80277,162,10843,15
Kiboy,Angela,Roamer,8.0,21686,10843,3179,8612,15
Dreams,Kaja,Roamer,0.0,12479,74241,0,6354,13
